id,name,categories/0/title,rating,coordinates/latitude,coordinates/longitude,price,location/address1,location/city,location/zip_code
5fquJHY2hMX9tPRD5s0t5g,Rooster's Uptown,American (New),4.0,35.2265,-80.840796,$$,150 N College St,Charlotte,28202
jZUizCQ4nRmyovBeuUniGQ,Stone Mountain Grill,American (New),3.5,35.05789,-80.851262,$$,15719 Brixham Hill Ave,Charlotte,28277
Ggh9JwuIwPBiMmx16kAiug,Sushi Guru,Sushi Bars,3.5,35.1542664054846,-80.8280182217636,$$,6601 Morrison Blvd,Charlotte,28211
mqUgobkWrQgfYo3ri1foVA,Kabab Je Rotisserie and Grille,Mediterranean,4.0,35.060634,-80.816192,$$,7828 Rea Rd,Charlotte,28277
boug058JCnbFkQp-K_fXQA,Ruth's Chris Steak House,Steakhouses,4.0,35.2262229919434,-80.8451614379883,$$$,222 S Tryon St,Charlotte,28202
yOBDY3fpaTpX4Q5JpmExMg,Taqueria Mexico,Mexican,4.0,35.139564,-80.876228,$,7001 South Blvd,Charlotte,28217
apMG3W6-qpHIuo4ApZy3IA,Bricktop's Restaurant,Breakfast & Brunch,4.0,35.156344,-80.831879,$$,6401 Morrison Blvd,Charlotte,28211
_sf5MgDqH9P5OnK3tsHfkg,John's Family Restaurant,American (Traditional),3.5,35.129871,-80.937683,$,2002 Westinghouse Blvd,Charlotte,28273
wJnhUJCOYkncLPZAwaMffA,Room 112,Asian Fusion,3.5,35.2270964,-80.8438287,$$,112 S Tryon St,Charlotte,28284
vMKQaR8bI2saI7rz8H5MYg,Sabor Latin Street Grill - Noda,Mexican,4.0,35.24736,-80.80566,$,3205 N Davidson St,Charlotte,28205
LpyndkMvevIQA-JHoReHNw,Jaipur Indian Restaurant,Indian,3.5,35.155407,-80.875309,$$,5909 South Blvd,Charlotte,28217
aIJqDWUt10iS45zYCr0KcQ,Thai Taste,Thai,3.5,35.21002,-80.856,$$,324 East Blvd,Charlotte,28203
o5QDrg_kb4hgsWxV6cV_Uw,The Flying Biscuit Cafe - Charlotte,Breakfast & Brunch,4.0,35.1742292692206,-80.8481419086456,$$,4241 Park Rd,Charlotte,28209
ICUCAzUZFiWkYs7iCtNCQg,Copper Modern Indian Cuisine,Indian,4.0,35.2107699,-80.85582,$$,311 East Blvd,Charlotte,28203
1NmGVWYlF4iMngM6arKJTQ,Pho Huong Que,Vietnamese,3.5,35.16302,-80.73824,$$,7211 E Independence Blvd,Charlotte,28227
s6lTNO57vXsfzyYrPfXOvA,Vietnam Grille,Vietnamese,4.0,35.1598255647287,-80.875802542826,$$,5615 South Blvd,Charlotte,28217
KEGLWeFAWXvo0W2LnujhtQ,Lang Van Vietnamese,Vietnamese,4.5,35.23666,-80.77453,$$,3019 Shamrock Dr,Charlotte,28215
gChmBjLSe3qa8rzEngoDLQ,Fahrenheit,American (New),3.0,35.2225852263071,-80.8410940691829,$$$,222 S Caldwell St,Charlotte,28202
